country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Qatar,685,721,683,636,621,575,563,579,581,622,614,667,701,737,753,773,778
Rwanda,7.6,8.93,10.7,24.3,193,221,272,173,213,217,170,148,192,207,266,261,285
Saudi Arabia,398,461,545,583,663,722,706,711,694,735,808,921,987,1050,1080,1150,1240
Senegal,84.1,79.7,87.1,92.5,108,95.4,104,135,135,153,168,165,188,193,201,224,226
Singapore,1980,1970,1980,2000,2000,2000,2040,2080,2110,2140,2180,2190,2200,2230,2270,2320,2400
Solomon Islands,,,,,,,,,298,249,436,451,483,510,722,819,803
Sierra Leone,,,56.1,58.4,84.1,100,168,137,157,,,,,,,,
El Salvador,,,,,,783,424,656,622,619,968,1030,1060,772,790,762,746
San Marino,,,,,,,1640,1670,,,1710,1660,1690,1700,1690,1690,1630
South Sudan,,,,,,,,21.9,29.4,40.4,57.2,74.2,79.7,81.7,81.8,105,81.5
Sao Tome and Principe,,,,271,317,358,394,444,705,728,684,878,748,776,793,,
Suriname,,,,,,,,,,,,1080,1260,1150,1310,1480,1130
Eswatini,361,381,397,400,473,516,514,525,573,508,553,585,557,612,472,175,179
Seychelles,277,497,525,573,598,673,702,737,1030,1700,1680,1740,1770,1820,1850,2420,3390
Syria,,,,,195,208,206,209,208,212,,,,,,,
Chad,,,,,,,,,,24.6,26.8,29.9,31.3,29.8,42.4,39.2,37.9
Togo,81.4,58.3,64,73,213,197,159,157,157,168,248,236,220,231,216,231,240
Thailand,,,960,1010,1020,1040,1070,1130,1120,1150,1170,1190,1210,1270,1280,1330,1370
Tajikistan,172,197,323,239,237,329,370,415,559,712,999,1210,1050,792,804,942,988
Timor-Leste,62.2,69.5,69.9,81.1,113,135,156,261,374,377,451,543,496,544,511,536,540
Tonga,,,,,,,,,,,,,989,1120,761,,
Tunisia,,620,615,628,644,671,701,753,806,836,868,952,991,1030,1070,,
Turkey,,1410,1420,1390,1300,1280,882,911,920,977,966,1030,1210,1350,1460,1590,1870
Tanzania,,0,0,0,0,0,0,0,0,0,0,,,,,,
Uganda,90.8,101,116,113,157,175,194,181,205,191,201,210,253,364,292,290,319
Ukraine,,2710,2860,3010,3100,3210,3240,3350,3380,1920,1940,1820,1620,1680,1510,1660,1730
Uruguay,,339,415,444,501,535,605,627,669,742,871,867,880,958,1040,1090,1100
Uzbekistan,245,296,311,333,385,401,442,417,441,520,592,609,701,786,820,809,849
Venezuela,,879,1050,1210,1200,1210,1200,1370,1540,1710,1750,1920,,,,,
Vanuatu,,,,,,,,,,,662,704,719,605,596,653,668
Samoa,403,515,568,568,676,709,714,805,869,984,949,949,952,1020,1110,1160,1350
Yemen,56.1,66.1,75.1,76.8,85.8,104,85.3,88,115,115,119,113,,,,,
Zambia,12.8,16.4,22,24.6,27.3,26.9,133,151,189,258,289,306,318,332,297,233,216
Zimbabwe,518,518,514,201,218,94,167,83.8,90.3,89,100,93,287,467,517,641,502
